What a fascinating project!

ANSI escape codes are a set of escape sequences used to control the behavior of terminals and consoles. They're widely used in Unix-like systems, but also in some Windows applications.

Here's a text file containing a comprehensive list of ANSI escape codes I've compiled:

**ansi_escape_codes.txt**

# Basic Control Sequences

\033[0m          Reset all attributes
\033[1m          Bold
\033[4m          Underline
\033[7m          Reverse video
\033[8m          Invisible (hide cursor)
\033[9m          Visible (show cursor)

# Text Color Sequences

\033[30m        Black
\033[31m        Red
\033[32m        Green
\033[33m        Yellow
\033[34m        Blue
\033[35m        Magenta
\033[36m        Cyan
\033[37m        White

# Background Color Sequences

\033[40m        Black
\033[41m        Red
\033[42m        Green
\033[43m        Yellow
\033[44m        Blue
\033[45m        Magenta
\033[46m        Cyan
\033[47m        White

# Cursor Movement Sequences

\033[1;H        Move cursor to top-left corner
\033[1;J        Clear screen and move cursor to top-left corner
\033[H        Move cursor to top-left corner
\033[J        Clear screen and move cursor to top-left corner
\033[2J        Clear screen and move cursor to top-left corner (alternative)
\033[F        Move cursor down one line
\033[1F       Move cursor to beginning of line
\033[2F       Move cursor up one line
\033[3F       Move cursor to end of line
\033[4F       Move cursor to beginning of line (alternative)
\033[5F       Move cursor up one line (alternative)
\033[6F       Move cursor down one line (alternative)
\033[7F       Move cursor forward one character
\033[1;2H    Move cursor to row 2, column 1
\033[2;3H    Move cursor to row 3, column 2

# Cursor Attributes Sequences

\033[?25h    Hide cursor
\033[?25l    Show cursor
\033[?1h    Decrement cursor intensity
\033[?1l    Increment cursor intensity
\033[?5h    Blinking cursor
\033[?5l    Non-blinking cursor
\033[?7h    Reverse cursor video
\033[?7l    Normal cursor video

# Bell and Alert Sequences

\033[7        Bell (beep)
\033[1;7h    Alert (beep)

# Device Control Sequences

\033[?3h    Set VT100 mode
\033[?3l    Reset VT100 mode
\033[?4h    Set VT52 mode
\033[?4l    Reset VT52 mode
\033[?5h    Set VT100 mode (alternative)
\033[?5l    Reset VT100 mode (alternative)
\033[?6h    Set VT52 mode (alternative)
\033[?6l    Reset VT52 mode (alternative)
\033[?7h    Set VT100 mode (alternative)
\033[?7l    Reset VT100 mode (alternative)

# Private Sequences

\033[0;0H    Reset all attributes and move cursor to top-left corner
\033[0;1H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;2H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;3H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;4H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;5H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;6H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;7H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;8H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;9H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;10H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;11H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;12H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;13H    Reset all attributes and move cursor to top-left corner (alternative)
